BTRUS22510198601,SHUMILOVA Ekaterina,136
BTNOR22505199001,LANDHEIM Bente,14
BTKOR22302199301,KIM Seora,1
BTJPN11705198801,TACHIZAKI Mikito,0
BTLTU12203198201,LAVRINOVIC Aleksandr,5
BTROU12710198901,PUCHIANU Cornel,0
BTKAZ21002199401,VISHNEVSKAYA Galina,16
BTSCG12109198801,PETROVIC Milanko,40
BTRUS11811198001,TCHEREZOV Ivan,3
BTCZE11702198901,KRISTEJN Lukas,0
BTGER11911199101,KUEHN Johannes,11
BTUKR10511199101,PIDRUCHNYI Dmytro,3
BTITA10202198201,MARTINELLI Christian,15
BTSVK12909198301,SIMOCKO Dusan,12
BTLTU10806199101,DOMBROVSKI Karol,5
BTGER22711198001,SACHENBACHER-STEHLE Evi,47
BTCZE22007199001,LANDOVA Jitka,90
BTSLO21204199001,DRCAR Lili,0
BTITA21710198501,FIANDINO Roberta,1
BTSUI20203199201,MEIER-RUGE Ladina,0
BTKAZ13103198501,KENESHEV Dias,16
BTROU23010199301,SALMAN Diana,18
BTCZE22102199301,CERNA Kristyna,9
BTJPN20805198001,OWADA Itsuka,5
BTSUI22312199301,JOST Patricia,3
BTBLR20603198801,YURKEVICH Darya,3
BTSVK23105198901,PREKOPOVA Natalia,2
BTEST12312198901,REMMELG Martin,0
BTSWE12705198801,ARMGREN Ted,8
BTFRA12504198401,FOURCADE Simon,221
BTHUN12812199001,SZABO Milan,1
BTCZE11207198201,SOUKUP Jaroslav,65
BTCAN11902198601,BEDARD Marc Andre,2
BTPOL10506198901,SLONINA Lukasz,2
BTFIN12805197901,KALJUNEN Mika,11
BTEST11909199201,ERMITS Kalev,0
BTCZE12301199101,KRCMAR Michal,4
BTGBR10907199401,DIXON Scott,0
BTPOL11302199001,LEPEL Rafal,1
BTBLR10312198701,LIADOV Yuryi,10
BTFIN23110198401,GRONDAHL Outi,0
BTGBR21008197601,WALKER Adele,0
BTGER20309198601,LANG Kathrin,1
BTRUS21510198801,ZAGORUIKO Anastasia,11
BTCAN22606199101,VAILLANCOURT Audrey,18
BTNOR20611198201,FLATLAND Ann Kristin Aafedt,113
BTLAT10701199101,MEIRANS Krisjanis,1
BTLAT22706199101,BENDIKA Baiba,6
BTNED21907199201,SLOOF Chardine,19
BTSLO20406197801,RAVNIKAR Dijana,2
BTCHN22103199101,SONG Chaoqing,12
BTUSA21202198601,DREISSIGACKER Hannah,2
BTSVK21102198201,KALINOVA Lubomira,0
BTRUS21106198301,IOURIEVA Ekaterina,40
BTUKR21902199101,BONDAR Iana,2
BTRUS11912198601,SLEPOV Alexey,38
BTLTU11706199001,SUSLAVICIUS Rokas,2
BTJPN22610199001,GOSHONO Arisa,17
BTMDA11102199201,PINZARU Victor,20
BTESP11806198301,PULIDO SERRANO Samuel,2
BTBEL12604197101,LANGER Thorsten,4
BTKOR12112198701,JUN Je-Uk,2
BTDEN12008196701,SLETTEMARK Oystein,0
BTTUR12701199001,USTUNTAS Ahmet,13
BTCRO11806199201,VEVEREC Jurica,1
BTBEL12410199101,LANGER Thierry,4
BTTUR10101199201,CIVIL Orhangazi,28
BTMKD10305198401,ICOSKI Gjorgji,2
BTESP12201198901,QUINTANA ARIAS Pedro,12
BTGRE12504198801,KARAMICHAS Kleanthis,0
BTBIH11303198901,KOSARAC Nemanja,2
BTAUS10303197401,MORTON Cameron,0
BTAUS10709199201,HARMER Dyllan,1
BTSCG12307198801,RASTIC Damir,3
BTHUN12304198601,MUSKATAL Istvan,0
BTESP11911197901,LOBO ESCOLAR Victor,6
BTJPN10807198701,WAKAMATSU Sho,0
BTKOR10708198901,LEE Su-Young,0
BTLAT10912198901,MUIZNIEKS Oskars,0
BTKOR11012199301,KIM Yonggyu,1
BTJPN11503199201,MAEDA Ryo,0
BTESP12706198801,FERNANDEZ MUSSO Manuel,0
BTSCG10402198601,HODZIC Edin,14
BTTUR20201199201,ERDILER Nihan,8
BTMDA22808198801,CAMENSCIC Alexandra,0
BTAUS21610199401,GLANVILLE Lucy,0
BTBIH22307199101,KARISIK Tanja,6
BTGRE21205199001,TSAKIRI Panagiota,1
BTGBR23011198401,JONES Nerys,1
BTFIN21501198301,SILTAKORPI Annukka,1
BTLTU20112199301,KAZNACENKO Marija,0
BTLAT22001199201,PASKOVSKA Inga,1
BTROU22608199301,TOFALVI Orsolya,27
BTBUL21901199001,KOEVA Dafinka,0
BTSUI20902199401,GASPARIN Aita,1
BTKOR21006199301,KIM Kyungnam,5
BTCHN20910199001,MA Wei,1
BTAUT20212198901,DUERINGER Ramona,1
BTLTU20404199301,BANEL Karolina,0
BTBEL13012197701,LANGER Pascal,0
BTPOL12008199101,GUZIK  Grzegorz,0
BTSUI12404198301,JOLLER Ivan,46
BTSLO12112199001,KOCEVAR Simon,39
BTRUS13101199201,LOGINOV Alexander,90
BTFIN13004198401,HAKALA Matti,0
BTUKR12602199001,RUSINOV Dmytro,1
BTNOR11605199301,BOE Johannes Thingnes,34
BTRUS10301199201,TSVETKOV Maxim,31
BTGER11606198601,BOEHM Daniel,35
BTKAZ12503199101,PANTOV Anton,1
BTUSA10806199501,DOHERTY Sean,0
BTSWE11305198801,STEGMAYR Gabriel,0
BTRUS12612199101,PECHENKIN Aleksandr,3
BTNOR22912198001,MOERKVE Jori,37
BTSWE22803199001,BRORSSON Mona,0
BTRUS21110198701,PANFILOVA Mariya,28
BTRUS22608198701,STARYKH Irina,3
BTRUS21610198701,NAZAROVA Valentina,0
BTKAZ22608199001,KISTANOVA  Anna,1
BTKAZ21311198901,OKOLZDAYEVA Galina,1
BTRUS20305199001,ALIKINA Aleksandra,51
BTSWE20212198801,ADOLFSSON Kim,1
BTGER22208199301,DAHLMEIER Laura,141
BTRUS21209198201,SOROKINA Natalia,1
BTCZE12512198701,JANOV Vit,10
BTAUT21612199301,HAUSER Lisa Theresa,10
BTGER22403199201,HINZ Vanessa,4
BTNOR21203199001,NOSSUM Ane Skrove,6
BTRUS12011198601,KLYACHIN Sergey,3
BTGER11201198601,STEPHAN Christoph,6
BTRUS20508199201,PODCHUFAROVA Olga,2
BTCZE22112198901,JOHANIDESOVA Lea,29
BTCZE20102199301,CHARVATOVA Lucie,24
BTRUS21707199301,ILCHENKO Kristina,56
BTRUS12403199501,BOCHKAREV Aleksei,1
BTITA10712199201,MONTELLO Giuseppe,28
BTITA10212199301,PLAICKNER Andreas,23
BTMDA11201199601,DUBALARI Liviu,0
BTCZE12301199301,VOJIK Tomas,83
BTEST12108198701,ALA Siim,0
BTAUT22912199301,RIEDER Christina,0
BTKOR20508199301,HWANG Hyesuk,0
BTRUS10302198801,LAPSHIN Timofey,0
BTCAN10102199101,WENZEL Kurtis,0
BTRUS11208198501,SHREIDER Aleksandr,20
BTRUS10705197801,PROKUNIN Andrei,46
BTCZE11102199501,BURIAN Jan,26
BTITA11503199201,PLAICKNER Benjamin,23
BTRUS20411199201,SHALAEVA Natalia,56
BTRUS13004199401,PROSHCHENKO Igor,41
BTCZE22807199401,JISLOVA Jessica,40
BTCZE20110199501,SALDOVA Pavla,27
BTCZE11802199401,VACLAVIK Adam,41
BTSLO12705199301,PANCUR Primoz,9
BTSLO12201199401,DOVZAN Miha,41
BTITA20402199501,VITTOZZI Lisa,22
BTITA12103199301,DEMETZ Maikol,20
BTTUR21104199201,GUENES Buesra,20
BTTUR11212199501,USTUNTAS Mehmet,16
BTRUS21606199401,DMITRIEVA Olga,33
BTRUS22105199201,BADANINA Elena,45
BTBIH22906199401,KOROMAN Mladena,0
BTMDA22805199301,CRAVCENCO Doina,0
BTSVK22211199401,FIALKOVA Ivona,62
BTSLO22610199201,ERZEN Anja,36
BTRUS21303199401,MUKHINA Katarina,11
BTSLO22501199601,MLAKAR Tina,20
BTRUS22712199401,MUKHA Tatiana,8
BTBIH21703199601,KUSMUK Sanja,1
BTTUR10106199501,ORHAN Dilovan,1
BTBUL12703199201,GERDZHIKOV Dimitar,49
BTBIH10510199301,MUMOVIC Dejan,0
BTBIH10606199201,LOPATIC Stefan,0
BTRUS12101199401,MERZLIKIN Ilya,6
BTRUS10912199201,SVOTIN Anton,50
BTTUR10201199601,OEZTEKIN Firat,0
BTMDA12307199601,GAIDUC Nicolae,0
BTLAT12409199201,LUSA Daumants,18
BTCZE12001199501,TOLAR David,22
BTRUS11003199301,RESHETOV Dmitry,18
BTRUS21008199101,ILINYKH Alena,36
BTRUS21101198401,BOULYGINA Anna,42
BTRUS20904198501,KUNAEVA Anna,16
BTRUS21006198801,TRUSOVA Irina,33
BTRUS10412198901,PODOBAEV Sergey,2
BTESP11906199001,PIQUERAS Roberto,0
BTBUL12108199001,PARTALOV Dimitar,6
BTRUS10501198901,TURGENEV Andrey,30
BTRUS11103198901,OSKIN Anatoly,23
BTRUS10701199001,SURKOV Georgy,1
BTLAT11501198901,PRAULITIS Toms,0
BTESP11005199401,PUIGDEFABREGAS Marcos,1
BTROU10305199601,GEGO Hunor,4
BTSLO21005199701,POJE Urska,6
BTSVK12804199201,SIMA Michal,0
BTTUR10101199203,ORHAN Erkan,0
BTSLO11102199401,ZABRET Vid,11
BTBUL12112199001,CHORBADZHIEV Vasil,0
BTITA20502199501,RUNGGALDIER Carmen,19
BTROU21912199201,CIRSTEA Florina Ioana,21
BTRUS12107199501,STRELECKII Andrei,2
BTMDA11406199201,MALIUTIN Sveatoslav,1
BTITA22410199001,SANFILIPPO Federica,20
BTRUS20107199001,SHESTERIKOVA Olga,40
